2010-02-22T05:36:13.765+0000|1103|725662
2010-02-25T12:29:31.101+0000|4555|725662
2010-02-26T03:02:38.590+0000|768|725662
2010-02-27T15:44:53.224+0000|4755|725662
2010-03-01T16:14:38.110+0000|1050|725662
2010-03-03T04:25:35.350+0000|1259|406944
2010-03-03T12:20:58.396+0000|2886|406944
2010-03-03T14:24:25.218+0000|1259|406503
2010-03-03T18:43:11.857+0000|2608|406503
2010-03-04T04:12:00.086+0000|1222|725662
2010-03-04T18:12:22.012+0000|974|406915
2010-03-06T03:38:08.421+0000|3055|725662
2010-03-06T08:20:20.169+0000|1077|725662
2010-03-07T02:57:09.807+0000|2886|406503
2010-03-07T04:25:44.871+0000|555|406915
2010-03-07T21:40:58.692+0000|974|406503
2010-03-08T01:45:35.800+0000|1922|725662
2010-03-08T07:38:26.582+0000|3412|406915
2010-03-08T07:58:31.689+0000|2608|406944
2010-03-08T12:18:55.781+0000|974|406944
