2010-02-03T16:35:50.015+0000|1564|3825
2010-02-05T18:37:22.634+0000|2608|3633
2010-02-08T17:34:27.742+0000|2608|2886
2010-02-09T03:52:46.188+0000|143|1564
2010-02-09T20:38:36.222+0000|459|1259
2010-02-09T20:57:49.045+0000|94|555
2010-02-09T21:46:26.206+0000|2214|4511
2010-02-10T09:12:13.281+0000|555|3633
2010-02-10T11:35:21.044+0000|94|2608
2010-02-12T15:50:04.020+0000|2886|4231
2010-02-16T08:27:34.481+0000|2608|4555
2010-02-16T22:31:38.890+0000|2886|3705
2010-02-17T14:58:43.951+0000|143|4755
2010-02-18T01:52:25.820+0000|1103|2783
2010-02-18T13:16:33.808+0000|459|4273
2010-02-19T05:33:59.577+0000|2783|4755
2010-02-20T03:09:30.221+0000|2886|3633
2010-02-20T09:42:25.809+0000|2886|4511
2010-02-22T10:13:06.498+0000|1079|1564
2010-02-22T13:56:38.686+0000|555|4273
2010-02-22T16:53:02.979+0000|2783|4555
2010-02-22T22:00:44.754+0000|1259|3962
2010-02-22T22:40:44.610+0000|3412|4005
2010-02-23T01:31:28.966+0000|768|2783
2010-02-23T06:13:44.607+0000|143|4555
2010-02-23T17:29:54.020+0000|3412|3748
2010-02-24T08:49:08.162+0000|407|3331
2010-02-24T11:32:40.825+0000|555|3092
2010-02-24T15:07:04.548+0000|4555|4644
2010-02-25T04:49:12.821+0000|2004|4555
2010-02-25T06:35:29.578+0000|974|3705
2010-02-25T06:46:21.923+0000|3633|3748
2010-02-25T12:41:09.324+0000|1434|4555
2010-02-25T18:47:19.406+0000|1222|2783
